2023-01-30 11:32:13,797 p=2596440 u=david n=ansible | rpnode3                    : ok=3    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:32:13,798 p=2596440 u=david n=ansible | rpnode4                    : ok=3    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:42:13,427 p=2597240 u=david n=ansible | PLAY [Set up after master initialization] *********************************************************************************************************************
2023-01-30 11:42:13,439 p=2597240 u=david n=ansible | TASK [Gathering Facts] ****************************************************************************************************************************************
2023-01-30 11:42:19,807 p=2597240 u=david n=ansible | ok: [rpmaster]
2023-01-30 11:42:19,822 p=2597240 u=david n=ansible | TASK [Move config to ubuntu user and permissions] *************************************************************************************************************
2023-01-30 11:42:20,802 p=2597240 u=david n=ansible | [WARNING]: Consider using the file module with state=directory rather than running 'mkdir'.  If you need to use command because file is insufficient you can
add 'warn: false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message.

2023-01-30 11:42:20,803 p=2597240 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:42:20,836 p=2597240 u=david n=ansible | PLAY RECAP ****************************************************************************************************************************************************
2023-01-30 11:42:20,836 p=2597240 u=david n=ansible | rpmaster                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
